Name,Platform,Genre,Year,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,XGRP
Tony Hawk's Pro Skater,N64,Sports,2000.0,Activision,168,40,0,3,A
AMF Xtreme Bowling,PS2,Sports,2006.0,Mastertronic,1,1,0,0,A
Winning Post 2,SNES,Sports,1995.0,Tecmo Koei,0,0,30,0,A
Madden NFL 07,GC,Sports,2006.0,Electronic Arts,48,13,0,2,A
Blitz: The League,X360,Sports,2006.0,Midway Games,15,0,0,1,A
Tennis no Oji-Sama: DokiDoki Survival - Umibe no Secret,PS2,Sports,2007.0,Konami Digital Entertainment,0,0,4,0,A
NBA Live 09,PSP,Sports,2008.0,Electronic Arts,23,7,3,6,A
FIFA Soccer 2002,PS2,Sports,2001.0,Electronic Arts,31,24,0,8,A
J-League Pro Soccer Club o Tsukurou! 5,PS2,Sports,2007.0,Sega,0,0,19,0,A
Power Pro Kun Pocket 12,DS,Sports,2009.0,Konami Digital Entertainment,0,0,19,0,A
ESPN College Hoops 2K5,XB,Sports,2004.0,Sega,28,8,0,1,A
John Madden Football,SNES,Sports,1991.0,Imagineer,0,0,7,0,A
Skate 3,PS3,Sports,2010.0,Electronic Arts,79,94,0,35,A
Hooked! Real Motion Fishing,Wii,Sports,2007.0,505 Games,21,0,0,2,A
NBA in the Zone 2000,N64,Sports,2000.0,Konami Digital Entertainment,4,0,0,0,A
Tony Hawk's American Wasteland (Weekly american sales),PS2,Sports,2005.0,Activision,138,5,0,2,A
Don Bradman Cricket 14,PS4,Sports,2015.0,Tru Blu Entertainment,1,9,0,2,A
NFL GameDay 98,PS,Sports,1997.0,Sony Computer Entertainment,158,6,0,4,A
NBA Ballers: Phenom,XB,Sports,2006.0,Midway Games,9,3,0,0,A
FIFA 99,N64,Sports,1998.0,Electronic Arts,11,39,0,3,A
Pro Cycling Manager 2016,PS4,Sports,2016.0,Focus Home Interactive,0,4,0,1,A
Mat Hoffman's Pro BMX,PS,Sports,2001.0,Activision,30,20,0,4,A
Shaun White Snowboarding,PS3,Sports,2008.0,Ubisoft,31,24,1,10,A
NFL 2K2,PS2,Sports,2001.0,Sega,44,34,0,11,A
NFL Blitz 20-02,GC,Sports,2002.0,Midway Games,7,2,0,0,A
NHL 14,PS3,Sports,2013.0,Electronic Arts,28,19,0,9,A
NBA Street: Showdown,PSP,Sports,2005.0,Electronic Arts,20,0,0,2,A
Arena Football,XB,Sports,2006.0,Electronic Arts,11,3,0,1,A
Tony Hawk's Underground 2,XB,Sports,2004.0,Activision,48,24,0,3,A
FIFA 17,PS4,Sports,2016.0,Electronic Arts,28,375,6,69,A
Winter Stars,Wii,Sports,2011.0,Deep Silver,6,7,0,1,A
World Soccer Winning Eleven 2002,PS,Sports,2002.0,Konami Digital Entertainment,0,0,12,1,A
Mario Tennis,Wii,Sports,2010.0,Nintendo,0,6,0,1,A
Diva Girls: Divas on Ice,Wii,Sports,2009.0,505 Games,7,1,0,1,A
Rapala Pro Bass Fishing 2010,PSP,Sports,2010.0,Activision,6,0,0,1,A
The Biggest Loser,Wii,Sports,2009.0,THQ,87,12,0,9,A
Transworld Surf,PS2,Sports,2002.0,Atari,9,7,0,2,A
Madden NFL 2002,PS2,Sports,2001.0,Electronic Arts,250,16,1,42,A
NCAA Football 11,PS2,Sports,2010.0,Electronic Arts,19,15,0,5,A
NFL Blitz 20-03,XB,Sports,2002.0,Midway Games,11,3,0,1,A
NHL 15,PS4,Sports,2014.0,Electronic Arts,30,18,0,10,A
Tony Hawk's American Wasteland,GC,Sports,2005.0,Activision,33,8,0,1,A
Zumba Fitness 2,Wii,Sports,2011.0,Majesco Entertainment,154,107,0,28,A
All-Star Baseball 2004,XB,Sports,2003.0,Acclaim Entertainment,10,3,0,0,A
Pool Hall Pro,Wii,Sports,2009.0,Playlogic Game Factory,4,0,0,0,A
FIFA 14,3DS,Sports,2013.0,Electronic Arts,0,23,0,3,A
Cabela's Big Game Hunter 2010,PS3,Sports,2009.0,Activision Value,37,0,0,3,A
FIFA Soccer 07,DS,Sports,2006.0,Electronic Arts,5,1,0,0,A
NBA Live 09,PS3,Sports,2008.0,Electronic Arts,46,0,2,4,A
NFL GameDay 2003,PS2,Sports,null,Unknown,20,15,0,5,A
NBA Live 10,X360,Sports,2009.0,Electronic Arts,40,2,0,3,A
FIFA 15,PS4,Sports,2014.0,Electronic Arts,79,429,5,147,A
MLB 99,PS,Sports,1998.0,Sony Computer Entertainment,48,32,0,6,A
Tennis,GB,Sports,1989.0,Nintendo,75,30,90,4,A
Real World Golf,XB,Sports,2006.0,Mad Catz,2,1,0,0,A
Blood Bowl: Legendary Edition,PC,Sports,2010.0,Focus Home Interactive,0,1,0,0,A
Brian Lara Cricket,PS,Sports,1998.0,Codemasters,2,112,1,10,A
College Hoops 2K6,X360,Sports,2006.0,Take-Two Interactive,11,0,0,1,A
Madden NFL 07,X360,Sports,2006.0,Electronic Arts,166,0,1,13,A
Major League Baseball 2K5,XB,Sports,2005.0,Take-Two Interactive,52,2,0,2,A
Madden NFL 16,PS4,Sports,2015.0,Electronic Arts,233,30,0,59,A
NBA Live 06 (Weekly american sales),PS2,Sports,2005.0,Electronic Arts,135,5,0,2,A
Jikkyou Powerful Pro Yakyuu '98 Kaimakuban,PS,Sports,1998.0,Konami Digital Entertainment,0,0,55,4,A
Gold's Gym: Dance Workout,Wii,Sports,2010.0,Ubisoft,71,11,0,6,A
PES 2009: Pro Evolution Soccer,PSP,Sports,null,Konami Digital Entertainment,4,33,26,17,A
NHL 06,GC,Sports,2005.0,Electronic Arts,6,2,0,0,A
Outlaw Volleyball,XB,Sports,2003.0,TDK Mediactive,19,6,0,1,A
Slam Dunk: Yonkyo Taiketsu!!,SNES,Sports,1994.0,Namco Bandai Games,0,0,27,0,A
NBA 08,PSP,Sports,2007.0,Sony Computer Entertainment,3,0,0,0,A
2002 FIFA World Cup,XB,Sports,2002.0,Electronic Arts,14,4,0,1,A
NBA ShootOut 98,PS,Sports,1998.0,Sony Computer Entertainment,43,28,0,5,A
Backyard Baseball,GBA,Sports,2002.0,Atari,31,11,0,1,A
Alexi Lalas International Soccer,PS,Sports,1998.0,Take-Two Interactive,4,3,0,0,A
True Swing Golf,DS,Sports,2005.0,Nintendo,11,0,4,1,A
College Hoops 2K8,X360,Sports,2007.0,Take-Two Interactive,16,0,0,1,A
The Cages: Pro Style Batting Practice,Wii,Sports,2010.0,Konami Digital Entertainment,1,0,0,0,A
UEFA Euro 2004: Portugal,XB,Sports,2004.0,Electronic Arts,4,1,0,0,A
Cool Boarders,PS,Sports,1996.0,Sony Computer Entertainment,10,7,24,3,A
Go! Go! Hypergrind,GC,Sports,2003.0,Atlus,2,1,0,0,A
NHL Hitz 20-03,XB,Sports,2002.0,Midway Games,8,2,0,0,A
Gravity Games Bike: Street Vert Dirt,PS2,Sports,2002.0,Midway Games,5,4,0,1,A
ESPN MLB Baseball,XB,Sports,2004.0,Sega,10,3,0,0,A
Rugby 06,PS2,Sports,2006.0,Electronic Arts,2,2,0,1,A
Famista '92,NES,Sports,1991.0,Namco Bandai Games,0,0,28,0,A
Deca Sports Extreme,3DS,Sports,2011.0,Hudson Soft,8,0,3,1,A
Imagine: Ice Champions,DS,Sports,2007.0,Spike,15,0,0,1,A
Brunswick Pro Bowling,PS2,Sports,2007.0,505 Games,20,15,0,5,A
World Cup '98 France: Road to Win,SAT,Sports,1998.0,Sega,0,0,9,0,A
Derby Stallion 96,SNES,Sports,1996.0,ASCII Entertainment,0,0,104,1,A
Tennis no Oji-Sama: Genius Boys Academy,GBA,Sports,2002.0,Konami Digital Entertainment,0,0,24,1,A
NCAA Football 2005,PS2,Sports,2004.0,Electronic Arts,132,9,0,22,A
Jikkyou Powerful Pro Yakyuu 2010,PSP,Sports,2010.0,Konami Digital Entertainment,0,0,20,0,A
NHL 2K9,X360,Sports,2008.0,Take-Two Interactive,15,1,0,1,A
ESPN NBA 2K5,XB,Sports,2004.0,Global Star,88,4,0,4,A
Wii Sports Club,WiiU,Sports,2014.0,Nintendo,19,14,4,3,A
World Stadium 4,PS,Sports,2000.0,Namco Bandai Games,0,0,15,1,A
Deathrow: Underground Team Combat,XB,Sports,2002.0,Ubisoft,5,1,0,0,A
Triple Play 97,PS,Sports,1996.0,Electronic Arts Victor,21,15,0,3,A
Major League Baseball 2K11,PS3,Sports,2011.0,Take-Two Interactive,15,3,0,2,A
Major League Baseball 2K9,PS2,Sports,2009.0,Spike,8,6,0,2,A
Jonah Lomu Rugby Challenge,PS3,Sports,null,Home Entertainment Suppliers,0,20,0,6,A
Pro Evolution Soccer 2008,Wii,Sports,2008.0,Konami Digital Entertainment,9,84,11,15,A
FIFA 15,3DS,Sports,2014.0,Electronic Arts,9,33,0,3,A
NBA Live 99,N64,Sports,1998.0,Electronic Arts,45,2,0,0,A
Pro Evolution Soccer 2010,X360,Sports,2009.0,Konami Digital Entertainment,12,57,3,8,A
Jillian Michaels Fitness Ultimatum 2010,Wii,Sports,2009.0,Majesco Entertainment,52,1,0,4,A
J-League Jikkyou Winning Eleven 3,PS,Sports,1997.0,Konami Digital Entertainment,0,0,18,1,A
Rapala Fishing Frenzy 2009,X360,Sports,2008.0,Activision,4,0,0,0,A
FIFA Soccer 64,N64,Sports,1997.0,Electronic Arts,16,30,0,3,A
Major League Baseball 2K11,DS,Sports,2011.0,Take-Two Interactive,9,0,0,1,A
Rocket Power: Zero Gravity Zone,GBA,Sports,2003.0,THQ,14,5,0,0,A
FIFA World Cup Germany 2006,X360,Sports,2006.0,Electronic Arts,19,27,1,0,A
Super Formation Soccer 94,SNES,Sports,1994.0,Human Entertainment,0,0,37,0,A
Ribbit King,GC,Sports,2003.0,Atari,4,1,0,0,A
NHL 12,X360,Sports,2011.0,Electronic Arts,55,10,0,5,A
Captain Tsubasa J: The Way to World Youth,SNES,Sports,1995.0,Namco Bandai Games,0,0,3,0,A
Pro Yaky? Spirits 2010,PSP,Sports,2010.0,Konami Digital Entertainment,0,0,24,0,A
NHL Breakaway 98,N64,Sports,1998.0,Acclaim Entertainment,30,2,0,0,A
PDC World Championship Darts: Pro Tour,PS3,Sports,2010.0,O-Games,0,9,0,3,A
Orega Kantoku Da! Gekitou Pennant Race,PS2,Sports,2000.0,Enix Corporation,0,0,8,0,A
Major League Baseball 2K12,PC,Sports,2012.0,Take-Two Interactive,4,0,0,0,A
FIFA World Cup Germany 2006,GC,Sports,2006.0,Electronic Arts,10,3,0,0,A
Madden NFL 2004,GC,Sports,2003.0,Electronic Arts,40,10,0,1,A
Madden NFL 2003,GC,Sports,2002.0,Electronic Arts,33,9,0,1,A
UFC Personal Trainer: The Ultimate Fitness System,Wii,Sports,2011.0,THQ,12,6,0,2,A
NBA Street V3,GC,Sports,2005.0,Electronic Arts,23,6,0,1,A
Hyper Formation Soccer,PS,Sports,1995.0,Human Entertainment,0,0,10,1,A
MLB SlugFest 20-04,PS2,Sports,2003.0,Midway Games,26,20,0,7,A
Champion Jockey: G1 Jockey & Gallop Racer,Wii,Sports,2011.0,Tecmo Koei,5,4,1,1,A
World Championship Athletics,Wii,Sports,2009.0,DTP Entertainment,4,1,0,0,A
PGA Tour 96,PS,Sports,1995.0,Electronic Arts,13,9,0,2,A
NBA Jam,XB,Sports,2003.0,Acclaim Entertainment,10,3,0,0,A
Brunswick Pro Bowling,X360,Sports,2010.0,505 Games,38,4,0,3,A
Cabela's Dangerous Hunts 2011,Wii,Sports,2010.0,Activision,53,2,0,4,A
ESPN Great Outdoor Games Bass 2002,GBA,Sports,2001.0,Konami Digital Entertainment,3,1,0,0,A
Baseball Blast!,Wii,Sports,2009.0,Take-Two Interactive,14,0,0,1,A
Mario Sports Mix,Wii,Sports,2010.0,Nintendo,90,45,63,13,A
NHL 2005,GC,Sports,2004.0,Electronic Arts,5,1,0,0,A
Dave Mirra Freestyle BMX,PS,Sports,2000.0,Acclaim Entertainment,91,11,0,3,A
Gummy Bears Mini Golf,Wii,Sports,2010.0,Unknown,4,0,0,0,A
FIFA Street,X360,Sports,2012.0,Electronic Arts,17,65,0,10,A
Cabela's Legendary Adventures,PSP,Sports,2008.0,Activision,16,0,0,1,A
NBA Live 08,Wii,Sports,2007.0,Electronic Arts,17,0,0,2,A
NBA Live 06 (All region sales),PS2,Sports,2005.0,Electronic Arts,144,15,0,5,A
NHL 2004,PS2,Sports,2003.0,Electronic Arts,47,37,0,12,A
NCAA Final Four 2002,PS2,Sports,2001.0,Sony Computer Entertainment,15,12,0,4,A
We Ski & Snowboard,Wii,Sports,2008.0,Atari,38,28,15,8,A
Klonoa Beach Volleyball,PS,Sports,2002.0,Namco Bandai Games,3,2,0,0,A
My Body Coach,Wii,Sports,2009.0,Big Ben Interactive,0,4,0,1,A
Winning Eleven: Pro Evolution Soccer 2007,PC,Sports,2006.0,Konami Digital Entertainment,0,1,0,0,A
Pro Evolution Soccer 2013,X360,Sports,2012.0,Konami Digital Entertainment,8,20,0,3,A
ESPN Extreme Games,PS,Sports,1994.0,Sony Computer Entertainment,11,8,17,3,A
NFL 2K1,DC,Sports,2000.0,Sega,102,5,0,2,A
WWE 2K14,PS3,Sports,2013.0,Take-Two Interactive,49,49,0,21,A
NFL Blitz 20-02,XB,Sports,2002.0,Midway Games,7,2,0,0,A
WRC 5: FIA World Rally Championship,PSV,Sports,2015.0,Bigben Interactive,0,6,0,2,A
World Soccer Winning Eleven 9,XB,Sports,2005.0,Konami Digital Entertainment,6,33,2,3,A
Power Pro Kun Pocket 4,GBA,Sports,2002.0,Konami Digital Entertainment,0,0,28,1,A
FIFA Soccer 09 All-Play,Wii,Sports,2008.0,Electronic Arts,28,52,0,9,A
Active Life: Extreme Challenge,Wii,Sports,2009.0,Namco Bandai Games,15,27,0,6,A
College Slam,PS,Sports,1995.0,Acclaim Entertainment,10,7,0,1,A
NBA Live 16,XOne,Sports,2015.0,Electronic Arts,8,1,0,1,A
NBA Ballers: Phenom,PS2,Sports,2006.0,Midway Games,23,18,0,6,A
FIFA Soccer 2004,PS2,Sports,null,Electronic Arts,59,236,4,51,A
Gallop Racer,PS,Sports,1999.0,Tecmo Koei,0,0,18,1,A
EA Sports UFC,PS4,Sports,2014.0,Electronic Arts,46,40,1,17,A
Don King Boxing,Wii,Sports,2009.0,Take-Two Interactive,14,10,0,3,A
Tiger Woods PGA Tour 10,Wii,Sports,2009.0,Electronic Arts,61,37,0,11,A
Tony Hawk's Pro Skater 2,PS,Sports,2000.0,Activision,305,141,2,20,A
Basketball Hall of Fame Ultimate Hoops Challenge,Wii,Sports,2010.0,Zoo Games,6,0,0,0,A
Tony Hawk: Shred,PS3,Sports,2010.0,Activision,18,7,0,4,A
World Soccer Winning Eleven 2010: Aoki Samurai no Chousen,PS3,Sports,2010.0,Konami Digital Entertainment,0,0,23,0,A
NCAA Football 07,XB,Sports,2006.0,Electronic Arts,42,12,0,1,A
MVP Baseball 2003,XB,Sports,2003.0,Electronic Arts,15,4,0,1,A
Super Famista 3,SNES,Sports,1994.0,Namco Bandai Games,0,0,39,0,A
FIFA 2001: Major League Soccer,PS2,Sports,2000.0,Electronic Arts,0,0,9,0,A
Classic Road,PS,Sports,1995.0,Victor Interactive,0,0,7,0,A
Gekikuukan Pro Yakyuu: At the End of the Century 1999,PS2,Sports,2000.0,SquareSoft,0,0,54,0,A
Major League Baseball 2K8,PS2,Sports,2008.0,Bethesda Softworks,7,6,0,2,A
Tony Hawk's Pro Skater,PS,Sports,1999.0,Activision,342,138,2,20,A
Winter Sports 3: The Great Tournament,Wii,Sports,2010.0,Tradewest,2,2,0,0,A
MLB 08: The Show,PS3,Sports,2008.0,Sony Computer Entertainment,64,0,0,5,A
Virtua Tennis 2009,Wii,Sports,2009.0,Sega,13,21,0,4,A
2010 FIFA World Cup South Africa,PS3,Sports,2010.0,Electronic Arts,30,64,7,22,A
VR Golf '97,PS,Sports,1996.0,Gremlin Interactive Ltd,9,6,0,1,A
Summer Challenge: Athletics Tournament,PS3,Sports,2011.0,PQube,0,3,0,1,A
MLB 15: The Show,PS4,Sports,2015.0,Sony Computer Entertainment,67,8,0,17,A
Tiger Woods PGA Tour 2004,XB,Sports,2003.0,Electronic Arts,47,13,0,2,A
MLB 12: The Show,PS3,Sports,2012.0,Sony Computer Entertainment,86,0,0,6,A
Virtua Striker 2,DC,Sports,1999.0,Sega,0,0,32,0,A
FIFA World Cup Germany 2006,XB,Sports,2006.0,Electronic Arts,18,5,0,1,A
Shaun White Skateboarding,Wii,Sports,2010.0,Ubisoft,14,3,0,1,A
NFL Head Coach 09,PS3,Sports,2008.0,Electronic Arts,13,0,0,1,A
Top Spin,XB,Sports,2003.0,Microsoft Game Studios,36,8,0,2,A
All Star Cheer Squad,DS,Sports,2008.0,THQ,26,0,0,2,A
Power Pro Kun Pocket 6,GBA,Sports,2003.0,Konami Digital Entertainment,0,0,28,1,A
NBA Inside Drive 2002,XB,Sports,2002.0,Microsoft Game Studios,28,8,0,1,A
NBA Live 09,X360,Sports,2008.0,Electronic Arts,50,14,0,7,A
Rugby Challenge 3,X360,Sports,2016.0,Alternative Software,0,2,0,0,A
Nicktoons: MLB,X360,Sports,2011.0,Take-Two Interactive,12,0,0,1,A
Rapala Pro Fishing,GBA,Sports,2004.0,Zoo Digital Publishing,4,2,0,0,A
Triple Play 2002,XB,Sports,2002.0,Electronic Arts,19,5,0,1,A
The BIGS 2,Wii,Sports,2009.0,Take-Two Interactive,26,1,0,2,A
Balls of Fury,DS,Sports,2007.0,Zoo Digital Publishing,2,0,0,0,A
Tony Hawk's Underground 2 Remix,PSP,Sports,2005.0,Activision,46,21,0,15,A
Jikkyou Powerful Pro Yakyuu Wii Ketteiban,Wii,Sports,2007.0,Konami Digital Entertainment,0,0,3,0,A
Kinect Sports,X360,Sports,2010.0,Microsoft Game Studios,392,178,3,51,A
Tiger Woods PGA Tour 10,PS2,Sports,2009.0,Electronic Arts,12,1,0,13,A
Jikkyou Powerful Pro Yakyuu 2014,PSV,Sports,2014.0,Konami Digital Entertainment,0,0,12,0,A
Football Manager Handheld 2011,PSP,Sports,2010.0,Sega,0,28,0,14,A
Harry Potter: Quidditch World Cup,GC,Sports,2003.0,Electronic Arts,31,8,0,1,A
Goal Storm '97,PS,Sports,1996.0,Konami Digital Entertainment,1,0,9,1,A
FIFA World Cup: Germany 2006,GBA,Sports,2006.0,Electronic Arts,2,1,0,0,A
Winning Post World,PS3,Sports,2009.0,Tecmo Koei,0,0,5,0,A
Sega Bass Fishing,Wii,Sports,2008.0,Sega,46,1,0,4,A
NASCAR '15,X360,Sports,2015.0,Deep Silver,15,0,0,2,A
NFL Head Coach,XB,Sports,2006.0,Electronic Arts,9,3,0,0,A
Tony Hawk's Pro Skater 4,GC,Sports,2002.0,Activision,45,12,0,2,A
Smash Court Tennis 3,PSP,Sports,2007.0,Namco Bandai Games,1,1,1,1,A
Jikkyou Powerful Pro Baseball 2016,PS3,Sports,2016.0,Konami Digital Entertainment,0,0,11,0,A
